adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig
"A.L. Passagen 1, 6000, Kolding, Danmark",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"240 l. beh, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,1,False,True,True
"A.L. Passagen 1, 6000, Kolding, Danmark",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,1,False,True,True
"A.L. Passagen 1, 6000, Kolding, Danmark",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,1,False,True,True
"A.L. Passagen 1, 6000, Kolding, Danmark",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,1,False,True,True
"Akseltorv 5, 6000, Kolding, Danmark",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True
"Akseltorv 5, 6000, Kolding, Danmark",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,5,False,True,True
"Akseltorv 5, 6000, Kolding, Danmark",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,5,False,True,True
"Akseltorv 5, 6000, Kolding, Danmark",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True
"Akseltorv 5, 6000, Kolding, Danmark",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True
"Akseltorv 5, 6000, Kolding, Danmark",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True
"Akseltorv 5, 6000, Kolding, Danmark",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True
"Akseltorv 8 A, 6000, Kolding, Danmark",55.49042189999999,9.4739238,Akseltorv ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,8,False,True,False
"Bredgade 15, 6000, Kolding, Danmark",55.4885247,9.472363,Bredgade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,15,False,True,True
"Bredgade 15, 6000, Kolding, Danmark",55.4885247,9.472363,Bredgade ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,140,False,15,False,True,True
"Buen 2, 6000, Kolding, Danmark",55.4896804,9.4779272,Buen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,2,False,True,True
"Buen 2, 6000, Kolding, Danmark",55.4896804,9.4779272,Buen ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,140,False,2,False,True,True
"Buen 2, 6000, Kolding, Danmark",55.4896804,9.4779272,Buen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,2,False,True,True
"Buen 8, 6000, Kolding, Danmark",55.4894322,9.4783758,Buen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,8,False,True,True
"Buen 8, 6000, Kolding, Danmark",55.4894322,9.4783758,Buen ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,8,False,True,True
"Buen 8, 6000, Kolding, Danmark",55.4894322,9.4783758,Buen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,8,False,True,True
"Christian 4 Vej 83, 6000, Kolding, Danmark",55.4695749,9.4887997,Christian ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,4,False,True,True
"Christian 4 Vej 85, 6000, Kolding, Danmark",55.4684325,9.4883287,Christian ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,4,False,True,False
"Christian 4 Vej 87, 6000, Kolding, Danmark",55.4676299,9.4874201,Christian ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,4,False,True,False
"Gråbrødregade 11, 6000, Kolding, Danmark",55.4894572,9.4766331,Gråbrødregade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,11,False,True,True
"Gråbrødregade 11, 6000, Kolding, Danmark",55.4894572,9.4766331,Gråbrødregade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,11,False,True,True
"Gråbrødregade 15, 6000, Kolding, Danmark",55.48924400000001,9.4765866,Gråbrødregade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,15,False,True,True
"Gråbrødregade 15, 6000, Kolding, Danmark",55.48924400000001,9.4765866,Gråbrødregade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,15,False,True,True
"Haderslevvej 65 01, 6000, Kolding, Danmark",55.4826835,9.4702447,Haderslevvej ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,65,False,True,False
"Haderslevvej 65 ST, 6000, Kolding, Danmark",55.4826835,9.4702447,Haderslevvej ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,370,False,65,False,True,False
"Helligkorsgade 12, 6000, Kolding, Danmark",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,370,False,12,False,True,True
"Helligkorsgade 14, 6000, Kolding, Danmark",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,14,False,True,True
"Helligkorsgade 14, 6000, Kolding, Danmark",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"190 l. beholder, mad, sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,190,False,14,False,True,True
"Helligkorsgade 17, 6000, Kolding, Danmark",55.4891531,9.47481,Helligkorsgade ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,370,False,17,False,True,True
"Helligkorsgade 20 B, 6000, Kolding, Danmark",55.4888081,9.4750168,Helligkorsgade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True
"Helligkorsgade 20 B, 6000, Kolding, Danmark",55.4888081,9.4750168,Helligkorsgade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,20,False,True,True
"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True
"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,22,False,True,True
"Helligkorsgade 22 A, 6000, Kolding, Danmark",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True
"Idyl 21, 6000, Kolding, Danmark",55.4771507,9.5109088,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,21,False,True,False
"Idyl 23, 6000, Kolding, Danmark",55.4771271,9.5110417,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,23,False,True,False
"Idyl 25, 6000, Kolding, Danmark",55.47647019999999,9.5140224,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,25,False,True,False
"Idyl 27, 6000, Kolding, Danmark",55.4769751,9.5153851,Idyl ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,370,False,27,False,True,False
"Idyl 29, 6000, Kolding, Danmark",55.4751293,9.5148313,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,29,False,True,False
"Jernbanegade 1 C, 6000, Kolding, Danmark",55.49026199999999,9.474436,Jernbanegade ,6000,Kolding,1,"660 l. con, rest, med lås","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,True,660,False,1,False,True,False
"Jernbanegade 1 C, 6000, Kolding, Danmark",55.49026199999999,9.474436,Jernbanegade ,6000,Kolding,1,"400 l .con, rest, med lås","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,True,400,False,1,False,True,False
"Jernbanegade 1 C, 6000, Kolding, Danmark",55.49026199999999,9.474436,Jernbanegade ,6000,Kolding,1,"240 l. beholder, mad, med lås","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,True,240,False,1,False,True,False
"Jernbanegade 1 E, 6000, Kolding, Danmark",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,1,False,True,True
"Jernbanegade 1 E, 6000, Kolding, Danmark",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,1,False,True,True
"Jernbanegade 3, 6000, Kolding, Danmark",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True
"Jernbanegade 3, 6000, Kolding, Danmark",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,3,False,True,True
"Jernbanegade 3, 6000, Kolding, Danmark",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True
"Jernbanegade 4, 6000, Kolding, Danmark",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,130,True,4,False,True,True
"Jernbanegade 4, 6000, Kolding, Danmark",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,90,True,4,False,True,True
"Jernbanegade 6 03, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
"Jernbanegade 6 1 TH, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
"Jernbanegade 6 1 TV, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
"Jernbanegade 6 2 TH, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
"Jernbanegade 6 2 TV, 6000, Kolding, Danmark",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False
"Jernbanegade 8, 6000, Kolding, Danmark",55.4900786,9.4745658,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,8,False,True,True
"Jernbanegade 8, 6000, Kolding, Danmark",55.4900786,9.4745658,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,8,False,True,True
"Jernbanegade 10, 6000, Kolding, Danmark",55.4901022,9.4748229,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False
"Jernbanegade 10, 6000, Kolding, Danmark",55.4901022,9.4748229,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False
"Jernbanegade 10, 6000, Kolding, Danmark",55.4901022,9.4748229,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False
"Jernbanegade 11 02 1, 6000, Kolding, Danmark",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False
"Jernbanegade 11 02 2, 6000, Kolding, Danmark",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False
"Jernbanegade 11 02 3, 6000, Kolding, Danmark",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False
"Jernbanegade 11 02 4, 6000, Kolding, Danmark",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False
"Jernbanegade 15, 6000, Kolding, Danmark",55.4901995,9.4764975,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,15,False,True,False
"Jernbanegade 15, 6000, Kolding, Danmark",55.4901995,9.4764975,Jernbanegade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,400,False,15,False,True,False
"Jernbanegade 15, 6000, Kolding, Danmark",55.4901995,9.4764975,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,15,False,True,False
"Jernbanegade 16 A, 6000, Kolding, Danmark",55.4900805,9.4752548,Jernbanegade ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,660,False,16,False,True,False
"Jernbanegade 16 A, 6000, Kolding, Danmark",55.4900805,9.4752548,Jernbanegade ,6000,Kolding,1,"240 l. beh, mad - sætte frem","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,16,False,True,False
"Jernbanegade 17 A, 6000, Kolding, Danmark",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,17,False,True,True
"Jernbanegade 17 A, 6000, Kolding, Danmark",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,17,False,True,True
"Jernbanegade 17 A, 6000, Kolding, Danmark",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,17,False,True,True
"Jernbanegade 19, 6000, Kolding, Danmark",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,19,True,True,False
"Jernbanegade 19, 6000, Kolding, Danmark",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,140,False,19,True,True,False
"Jernbanegade 20, 6000, Kolding, Danmark",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True
"Jernbanegade 20, 6000, Kolding, Danmark",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,20,False,True,True
"Jernbanegade 20, 6000, Kolding, Danmark",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True
"Jernbanegade 21, 6000, Kolding, Danmark",55.4901618,9.4769814,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,21,False,True,False
"Jernbanegade 21, 6000, Kolding, Danmark",55.4901618,9.4769814,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,21,False,True,False
